[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
6331,ISO,003,1,AVG,2021-07-29 17:43:13,00:00:10,00:00:10,0.5um,4254405,2.5um,1041238,5.0um,396434,/m3,
,,,,1,2021-07-29 17:43:13,00:00:10,00:00:10,0.5um,756441,2.5um,97469,5.0um,12713,/m3,
,,,,2,2021-07-29 17:43:23,00:00:10,00:00:10,0.5um,856029,2.5um,103825,5.0um,10594,/m3,
,,,,3,2021-07-29 17:43:33,00:00:10,00:00:10,0.5um,686518,2.5um,78399,5.0um,16951,/m3,
,,,,4,2021-07-29 17:43:43,00:00:10,00:00:10,0.5um,658973,2.5um,91112,5.0um,16951,/m3,
,,,,5,2021-07-29 17:43:53,00:00:10,00:00:10,0.5um,686518,2.5um,88993,5.0um,25427,/m3,
,,,,6,2021-07-29 17:44:03,00:00:10,00:00:10,0.5um,614476,2.5um,80518,5.0um,19070,/m3,
,,,,7,2021-07-29 17:44:13,00:00:10,00:00:10,0.5um,601763,2.5um,114420,5.0um,14832,/m3,
,,,,8,2021-07-29 17:44:23,00:00:10,00:00:10,0.5um,7909792,2.5um,1928184,5.0um,822127,/m3,
,,,,9,2021-07-29 17:44:33,00:00:10,00:00:10,0.5um,11759803,2.5um,2786332,5.0um,1188694,/m3,
,,,,10,2021-07-29 17:44:43,00:00:10,00:00:10,0.5um,9702368,2.5um,2398576,5.0um,985281,/m3,
,,,,11,2021-07-29 17:44:53,00:00:10,00:00:10,0.5um,8742513,2.5um,2137953,5.0um,913239,/m3,
,,,,12,2021-07-29 17:45:03,00:00:10,00:00:10,0.5um,8609024,2.5um,2133716,5.0um,879337,/m3,
,,,,13,2021-07-29 17:45:13,00:00:10,00:00:10,0.5um,8399254,2.5um,2019296,5.0um,879337,/m3,
,,,,14,2021-07-29 17:45:23,00:00:10,00:00:10,0.5um,7731806,2.5um,1796813,5.0um,733134,/m3,
,,,,15,2021-07-29 17:45:33,00:00:10,00:00:10,0.5um,7102497,2.5um,1733247,5.0um,777630,/m3,
,,,,16,2021-07-29 17:45:43,00:00:10,00:00:10,0.5um,7318624,2.5um,1671799,5.0um,747966,/m3,
,,,,17,2021-07-29 17:45:53,00:00:10,00:00:10,0.5um,6488021,2.5um,1487456,5.0um,627190,/m3,
,,,,18,2021-07-29 17:46:03,00:00:10,00:00:10,0.5um,6248587,2.5um,1489575,5.0um,608120,/m3,
,,,,19,2021-07-29 17:46:13,00:00:10,00:00:10,0.5um,5788790,2.5um,1260736,5.0um,474630,/m3,
,,,,20,2021-07-29 17:46:23,00:00:10,00:00:10,0.5um,5718867,2.5um,1248022,5.0um,527602,/m3,
,,,,21,2021-07-29 17:46:33,00:00:10,00:00:10,0.5um,5417985,2.5um,1169624,5.0um,480987,/m3,
,,,,22,2021-07-29 17:46:43,00:00:10,00:00:10,0.5um,4867075,2.5um,974686,5.0um,400469,/m3,
,,,,23,2021-07-29 17:46:53,00:00:10,00:00:10,0.5um,4394564,2.5um,921714,5.0um,368686,/m3,
,,,,24,2021-07-29 17:47:03,00:00:10,00:00:10,0.5um,4271669,2.5um,906882,5.0um,362329,/m3,
,,,,25,2021-07-29 17:47:13,00:00:10,00:00:10,0.5um,4409397,2.5um,985281,5.0um,351735,/m3,
,,,,26,2021-07-29 17:47:23,00:00:10,00:00:10,0.5um,4140298,2.5um,892050,5.0um,372923,/m3,
,,,,27,2021-07-29 17:47:33,00:00:10,00:00:10,0.5um,4057662,2.5um,860267,5.0um,381399,/m3,
,,,,28,2021-07-29 17:47:43,00:00:10,00:00:10,0.5um,3784326,2.5um,805176,5.0um,290287,/m3,
,,,,29,2021-07-29 17:47:53,00:00:10,00:00:10,0.5um,3701689,2.5um,722539,5.0um,279693,/m3,
,,,,30,2021-07-29 17:48:03,00:00:10,00:00:10,0.5um,3797039,2.5um,762798,5.0um,273336,/m3,
,,,,31,2021-07-29 17:48:13,00:00:10,00:00:10,0.5um,3383857,2.5um,716183,5.0um,264860,/m3,
,,,,32,2021-07-29 17:48:23,00:00:10,00:00:10,0.5um,2917703,2.5um,586931,5.0um,228839,/m3,
,,,,33,2021-07-29 17:48:33,00:00:10,00:00:10,0.5um,2771500,2.5um,608120,5.0um,216126,/m3,
,,,,34,2021-07-29 17:48:43,00:00:10,00:00:10,0.5um,2826591,2.5um,608120,5.0um,230958,/m3,
,,,,35,2021-07-29 17:48:53,00:00:10,00:00:10,0.5um,2576562,2.5um,466154,5.0um,156797,/m3,
,,,,36,2021-07-29 17:49:03,00:00:10,00:00:10,0.5um,2358317,2.5um,447084,5.0um,150441,/m3,
,,,,37,2021-07-29 17:49:13,00:00:10,00:00:10,0.5um,2424003,2.5um,432252,5.0um,182224,/m3,
,,,,38,2021-07-29 17:49:23,00:00:10,00:00:10,0.5um,5555713,2.5um,1385750,5.0um,542434,/m3,
,,,,39,2021-07-29 17:49:33,00:00:10,00:00:10,0.5um,7994547,2.5um,1932422,5.0um,733134,/m3,
,,,,40,2021-07-29 17:49:43,00:00:10,00:00:10,0.5um,8113205,2.5um,1875212,5.0um,733134,/m3,
,,,,41,2021-07-29 17:49:53,00:00:10,00:00:10,0.5um,7382190,2.5um,1767149,5.0um,669567,/m3,
,,,,42,2021-07-29 17:50:03,00:00:10,00:00:10,0.5um,7070714,2.5um,1682393,5.0um,697113,/m3,
,,,,43,2021-07-29 17:50:13,00:00:10,00:00:10,0.5um,6697791,2.5um,1578568,5.0um,561504,/m3,
,,,,44,2021-07-29 17:50:23,00:00:10,00:00:10,0.5um,5680727,2.5um,1262855,5.0um,510651,/m3,
,,,,45,2021-07-29 17:50:33,00:00:10,00:00:10,0.5um,5112866,2.5um,1241666,5.0um,466154,/m3,
,,,,46,2021-07-29 17:50:43,00:00:10,00:00:10,0.5um,5903209,2.5um,1426009,5.0um,533959,/m3,
,,,,47,2021-07-29 17:50:53,00:00:10,00:00:10,0.5um,5498503,2.5um,1258617,5.0um,470392,/m3,
,,,,48,2021-07-29 17:51:03,00:00:10,00:00:10,0.5um,4983614,2.5um,1076393,5.0um,383518,/m3,
,,,,49,2021-07-29 17:51:13,00:00:10,00:00:10,0.5um,4320403,2.5um,949260,5.0um,330546,/m3,
,,,,50,2021-07-29 17:51:23,00:00:10,00:00:10,0.5um,4623404,2.5um,1086987,5.0um,396231,/m3,
,,,,51,2021-07-29 17:51:33,00:00:10,00:00:10,0.5um,4246243,2.5um,1006470,5.0um,322070,/m3,
,,,,52,2021-07-29 17:51:43,00:00:10,00:00:10,0.5um,4430585,2.5um,945022,5.0um,309357,/m3,
,,,,53,2021-07-29 17:51:53,00:00:10,00:00:10,0.5um,3964431,2.5um,832721,5.0um,317833,/m3,
,,,,54,2021-07-29 17:52:03,00:00:10,00:00:10,0.5um,4155131,2.5um,885693,5.0um,322070,/m3,
,,,,55,2021-07-29 17:52:13,00:00:10,00:00:10,0.5um,3928410,2.5um,866623,5.0um,305119,/m3,
,,,,56,2021-07-29 17:52:23,00:00:10,00:00:10,0.5um,3354193,2.5um,692875,5.0um,241553,/m3,
,,,,57,2021-07-29 17:52:33,00:00:10,00:00:10,0.5um,3341479,2.5um,633546,5.0um,203413,/m3,
,,,,58,2021-07-29 17:52:43,00:00:10,00:00:10,0.5um,3036360,2.5um,644141,5.0um,218245,/m3,
,,,,59,2021-07-29 17:52:53,00:00:10,00:00:10,0.5um,2960080,2.5um,635665,5.0um,211888,/m3,
,,,,60,2021-07-29 17:53:03,00:00:10,00:00:10,0.5um,3059668,2.5um,608120,5.0um,182224,/m3,
,,,,61,2021-07-29 17:53:13,00:00:10,00:00:10,0.5um,2714290,2.5um,546672,5.0um,150441,/m3,
,,,,62,2021-07-29 17:53:23,00:00:10,00:00:10,0.5um,2453667,2.5um,478868,5.0um,154678,/m3,
,,,,63,2021-07-29 17:53:33,00:00:10,00:00:10,0.5um,2572325,2.5um,521245,5.0um,152560,/m3,
,,,,64,2021-07-29 17:53:43,00:00:10,00:00:10,0.5um,2377387,2.5um,474630,5.0um,180105,/m3,
,,,,65,2021-07-29 17:53:53,00:00:10,00:00:10,0.5um,2349842,2.5um,432252,5.0um,139846,/m3,
,,,,66,2021-07-29 17:54:03,00:00:10,00:00:10,0.5um,2180331,2.5um,480987,5.0um,133490,/m3,
,,,,67,2021-07-29 17:54:13,00:00:10,00:00:10,0.5um,2038366,2.5um,396231,5.0um,103825,/m3,
,,,,68,2021-07-29 17:54:23,00:00:10,00:00:10,0.5um,6149000,2.5um,1383631,5.0um,531840,/m3,
,,,,69,2021-07-29 17:54:33,00:00:10,00:00:10,0.5um,8174653,2.5um,1904876,5.0um,741609,/m3,
,,,,70,2021-07-29 17:54:43,00:00:10,00:00:10,0.5um,7176658,2.5um,1781981,5.0um,667448,/m3,
,,,,71,2021-07-29 17:54:53,00:00:10,00:00:10,0.5um,6793140,2.5um,1635778,5.0um,680162,/m3,
,,,,72,2021-07-29 17:55:03,00:00:10,00:00:10,0.5um,6043056,2.5um,1523477,5.0um,593287,/m3,
,,,,73,2021-07-29 17:55:13,00:00:10,00:00:10,0.5um,4799271,2.5um,1061561,5.0um,453441,/m3,
,,,,74,2021-07-29 17:55:23,00:00:10,00:00:10,0.5um,5689202,2.5um,1345491,5.0um,540315,/m3,
,,,,75,2021-07-29 17:55:33,00:00:10,00:00:10,0.5um,5763363,2.5um,1470505,5.0um,523364,/m3,
