[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
7059,ISO,003,1,AVG,2021-07-30 11:45:41,00:00:10,00:00:10,0.5um,1943768,2.5um,547829,5.0um,211723,/m3,
,,,,1,2021-07-30 11:45:41,00:00:10,00:00:10,0.5um,644141,2.5um,36021,5.0um,21189,/m3,
,,,,2,2021-07-30 11:45:51,00:00:10,00:00:10,0.5um,690756,2.5um,50853,5.0um,19070,/m3,
,,,,3,2021-07-30 11:46:01,00:00:10,00:00:10,0.5um,642022,2.5um,44497,5.0um,10594,/m3,
,,,,4,2021-07-30 11:46:11,00:00:10,00:00:10,0.5um,478868,2.5um,23308,5.0um,10594,/m3,
,,,,5,2021-07-30 11:46:21,00:00:10,00:00:10,0.5um,1722652,2.5um,637784,5.0um,303000,/m3,
,,,,6,2021-07-30 11:46:31,00:00:10,00:00:10,0.5um,3813990,2.5um,1502288,5.0um,610238,/m3,
,,,,7,2021-07-30 11:46:41,00:00:10,00:00:10,0.5um,3682620,2.5um,1483218,5.0um,618714,/m3,
,,,,8,2021-07-30 11:46:51,00:00:10,00:00:10,0.5um,2981269,2.5um,1173861,5.0um,459798,/m3,
,,,,9,2021-07-30 11:47:01,00:00:10,00:00:10,0.5um,3157136,2.5um,1205645,5.0um,491581,/m3,
,,,,10,2021-07-30 11:47:11,00:00:10,00:00:10,0.5um,2466380,2.5um,974686,5.0um,383518,/m3,
,,,,11,2021-07-30 11:47:21,00:00:10,00:00:10,0.5um,2394338,2.5um,900525,5.0um,372923,/m3,
,,,,12,2021-07-30 11:47:31,00:00:10,00:00:10,0.5um,2171856,2.5um,794581,5.0um,294525,/m3,
,,,,13,2021-07-30 11:47:41,00:00:10,00:00:10,0.5um,2074387,2.5um,771274,5.0um,290287,/m3,
,,,,14,2021-07-30 11:47:51,00:00:10,00:00:10,0.5um,2055317,2.5um,788225,5.0um,330546,/m3,
,,,,15,2021-07-30 11:48:01,00:00:10,00:00:10,0.5um,1983275,2.5um,741609,5.0um,336902,/m3,
,,,,16,2021-07-30 11:48:11,00:00:10,00:00:10,0.5um,1943016,2.5um,669567,5.0um,252147,/m3,
,,,,17,2021-07-30 11:48:21,00:00:10,00:00:10,0.5um,1917590,2.5um,692875,5.0um,277574,/m3,
,,,,18,2021-07-30 11:48:31,00:00:10,00:00:10,0.5um,1790457,2.5um,529721,5.0um,216126,/m3,
,,,,19,2021-07-30 11:48:41,00:00:10,00:00:10,0.5um,1794694,2.5um,593287,5.0um,239434,/m3,
,,,,20,2021-07-30 11:48:51,00:00:10,00:00:10,0.5um,1629421,2.5um,512770,5.0um,177986,/m3,
,,,,21,2021-07-30 11:49:01,00:00:10,00:00:10,0.5um,1506526,2.5um,474630,5.0um,173748,/m3,
,,,,22,2021-07-30 11:49:11,00:00:10,00:00:10,0.5um,1470505,2.5um,485224,5.0um,150441,/m3,
,,,,23,2021-07-30 11:49:21,00:00:10,00:00:10,0.5um,1504407,2.5um,485224,5.0um,171630,/m3,
,,,,24,2021-07-30 11:49:31,00:00:10,00:00:10,0.5um,1377274,2.5um,444966,5.0um,165273,/m3,
,,,,25,2021-07-30 11:49:41,00:00:10,00:00:10,0.5um,1409058,2.5um,430133,5.0um,139846,/m3,
,,,,26,2021-07-30 11:49:51,00:00:10,00:00:10,0.5um,1275568,2.5um,341140,5.0um,127133,/m3,
,,,,27,2021-07-30 11:50:01,00:00:10,00:00:10,0.5um,1239547,2.5um,339021,5.0um,146203,/m3,
,,,,28,2021-07-30 11:50:11,00:00:10,00:00:10,0.5um,1328540,2.5um,400469,5.0um,122895,/m3,
,,,,29,2021-07-30 11:50:21,00:00:10,00:00:10,0.5um,1281925,2.5um,358091,5.0um,120776,/m3,
,,,,30,2021-07-30 11:50:31,00:00:10,00:00:10,0.5um,1201407,2.5um,336902,5.0um,125014,/m3,
,,,,31,2021-07-30 11:50:41,00:00:10,00:00:10,0.5um,1190813,2.5um,328427,5.0um,101706,/m3,
,,,,32,2021-07-30 11:50:51,00:00:10,00:00:10,0.5um,1118770,2.5um,309357,5.0um,103825,/m3,
,,,,33,2021-07-30 11:51:01,00:00:10,00:00:10,0.5um,1080631,2.5um,307238,5.0um,95350,/m3,
,,,,34,2021-07-30 11:51:11,00:00:10,00:00:10,0.5um,1106057,2.5um,269098,5.0um,74161,/m3,
,,,,35,2021-07-30 11:51:21,00:00:10,00:00:10,0.5um,930190,2.5um,216126,5.0um,69923,/m3,
,,,,36,2021-07-30 11:51:31,00:00:10,00:00:10,0.5um,866623,2.5um,203413,5.0um,65685,/m3,
,,,,37,2021-07-30 11:51:41,00:00:10,00:00:10,0.5um,1091225,2.5um,233077,5.0um,72042,/m3,
