[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5511,ISO,003,1,AVG,2021-07-27 17:21:46,00:00:10,00:00:10,0.5um,8840423,2.5um,591072,5.0um,138072,/m3,
,,,,1,2021-07-27 17:21:46,00:00:10,00:00:10,0.5um,7545344,2.5um,197056,5.0um,29664,/m3,
,,,,2,2021-07-27 17:21:56,00:00:10,00:00:10,0.5um,7700023,2.5um,235196,5.0um,31783,/m3,
,,,,3,2021-07-27 17:22:06,00:00:10,00:00:10,0.5um,7634337,2.5um,207651,5.0um,25427,/m3,
,,,,4,2021-07-27 17:22:16,00:00:10,00:00:10,0.5um,7719093,2.5um,235196,5.0um,50853,/m3,
,,,,5,2021-07-27 17:22:26,00:00:10,00:00:10,0.5um,7333456,2.5um,241553,5.0um,44497,/m3,
,,,,6,2021-07-27 17:22:36,00:00:10,00:00:10,0.5um,7295316,2.5um,243672,5.0um,48734,/m3,
,,,,7,2021-07-27 17:22:46,00:00:10,00:00:10,0.5um,6638462,2.5um,146203,5.0um,25427,/m3,
,,,,8,2021-07-27 17:22:56,00:00:10,00:00:10,0.5um,7437281,2.5um,220364,5.0um,44497,/m3,
,,,,9,2021-07-27 17:23:06,00:00:10,00:00:10,0.5um,7399141,2.5um,194937,5.0um,44497,/m3,
,,,,10,2021-07-27 17:23:16,00:00:10,00:00:10,0.5um,7377952,2.5um,194937,5.0um,27545,/m3,
,,,,11,2021-07-27 17:23:26,00:00:10,00:00:10,0.5um,7333456,2.5um,222483,5.0um,36021,/m3,
,,,,12,2021-07-27 17:23:36,00:00:10,00:00:10,0.5um,7670358,2.5um,258504,5.0um,42:378,/m3,
,,,,13,2021-07-27 17:23:46,00:00:10,00:00:10,0.5um,7098260,2.5um,199175,5.0um,33902,/m3,
,,,,14,2021-07-27 17:23:56,00:00:10,00:00:10,0.5um,7386428,2.5um,214007,5.0um,36021,/m3,
,,,,15,2021-07-27 17:24:06,00:00:10,00:00:10,0.5um,7736044,2.5um,203413,5.0um,21189,/m3,
,,,,16,2021-07-27 17:24:16,00:00:10,00:00:10,0.5um,7833512,2.5um,205532,5.0um,23308,/m3,
,,,,17,2021-07-27 17:24:26,00:00:10,00:00:10,0.5um,7746638,2.5um,190700,5.0um,33902,/m3,
,,,,18,2021-07-27 17:24:36,00:00:10,00:00:10,0.5um,7549582,2.5um,156797,5.0um,23308,/m3,
,,,,19,2021-07-27 17:24:46,00:00:10,00:00:10,0.5um,7363120,2.5um,201294,5.0um,21189,/m3,
,,,,20,2021-07-27 17:24:56,00:00:10,00:00:10,0.5um,7363120,2.5um,239434,5.0um,42378,/m3,
,,,,21,2021-07-27 17:25:06,00:00:10,00:00:10,0.5um,7288959,2.5um,211888,5.0um,38140,/m3,
,,,,22,2021-07-27 17:25:16,00:00:10,00:00:10,0.5um,7708498,2.5um,214007,5.0um,23308,/m3,
,,,,23,2021-07-27 17:25:26,00:00:10,00:00:10,0.5um,7822918,2.5um,209769,5.0um,25427,/m3,
,,,,24,2021-07-27 17:25:36,00:00:10,00:00:10,0.5um,7784778,2.5um,197056,5.0um,23308,/m3,
,,,,25,2021-07-27 17:25:46,00:00:10,00:00:10,0.5um,7890722,2.5um,167392,5.0um,23308,/m3,
,,,,26,2021-07-27 17:25:56,00:00:10,00:00:10,0.5um,7405498,2.5um,192818,5.0um,31783,/m3,
,,,,27,2021-07-27 17:26:06,00:00:10,00:00:10,0.5um,7337694,2.5um,158916,5.0um,19070,/m3,
,,,,28,2021-07-27 17:26:16,00:00:10,00:00:10,0.5um,7791135,2.5um,171630,5.0um,19070,/m3,
,,,,29,2021-07-27 17:26:26,00:00:10,00:00:10,0.5um,7579246,2.5um,188581,5.0um,27545,/m3,
,,,,30,2021-07-27 17:26:36,00:00:10,00:00:10,0.5um,7920386,2.5um,182224,5.0um,27545,/m3,
,,,,31,2021-07-27 17:26:46,00:00:10,00:00:10,0.5um,7547463,2.5um,224602,5.0um,31783,/m3,
,,,,32,2021-07-27 17:26:56,00:00:10,00:00:10,0.5um,7831393,2.5um,201294,5.0um,40259,/m3,
,,,,33,2021-07-27 17:27:06,00:00:10,00:00:10,0.5um,7831393,2.5um,173748,5.0um,16951,/m3,
,,,,34,2021-07-27 17:27:16,00:00:10,00:00:10,0.5um,8382303,2.5um,211888,5.0um,29664,/m3,
,,,,35,2021-07-27 17:27:26,00:00:10,00:00:10,0.5um,8250932,2.5um,177986,5.0um,25427,/m3,
,,,,36,2021-07-27 17:27:36,00:00:10,00:00:10,0.5um,8019974,2.5um,165273,5.0um,16951,/m3,
,,,,37,2021-07-27 17:27:46,00:00:10,00:00:10,0.5um,8081422,2.5um,201294,5.0um,31783,/m3,
,,,,38,2021-07-27 17:27:56,00:00:10,00:00:10,0.5um,7869533,2.5um,188581,5.0um,27545,/m3,
,,,,39,2021-07-27 17:28:06,00:00:10,00:00:10,0.5um,7642813,2.5um,205532,5.0um,25427,/m3,
,,,,40,2021-07-27 17:28:16,00:00:10,00:00:10,0.5um,7744519,2.5um,182224,5.0um,36021,/m3,
,,,,41,2021-07-27 17:28:26,00:00:10,00:00:10,0.5um,7837750,2.5um,211888,5.0um,25427,/m3,
,,,,42,2021-07-27 17:28:36,00:00:10,00:00:10,0.5um,8036925,2.5um,192818,5.0um,19070,/m3,
,,,,43,2021-07-27 17:28:46,00:00:10,00:00:10,0.5um,7733925,2.5um,211888,5.0um,29664,/m3,
,,,,44,2021-07-27 17:28:56,00:00:10,00:00:10,0.5um,7890722,2.5um,207651,5.0um,29664,/m3,
,,,,45,2021-07-27 17:29:06,00:00:10,00:00:10,0.5um,7930981,2.5um,194937,5.0um,21189,/m3,
,,,,46,2021-07-27 17:29:16,00:00:10,00:00:10,0.5um,7430924,2.5um,207651,5.0um,29664,/m3,
,,,,47,2021-07-27 17:29:26,00:00:10,00:00:10,0.5um,7221155,2.5um,220364,5.0um,36021,/m3,
,,,,48,2021-07-27 17:29:36,00:00:10,00:00:10,0.5um,7121567,2.5um,190700,5.0um,46615,/m3,
,,,,49,2021-07-27 17:29:46,00:00:10,00:00:10,0.5um,6952057,2.5um,197056,5.0um,42378,/m3,
,,,,50,2021-07-27 17:29:56,00:00:10,00:00:10,0.5um,6729574,2.5um,199175,5.0um,21189,/m3,
,,,,51,2021-07-27 17:30:06,00:00:10,00:00:10,0.5um,6761357,2.5um,205532,5.0um,31783,/m3,
,,,,52,2021-07-27 17:30:16,00:00:10,00:00:10,0.5um,7255057,2.5um,220364,5.0um,25427,/m3,
,,,,53,2021-07-27 17:30:26,00:00:10,00:00:10,0.5um,7369477,2.5um,184343,5.0um,16951,/m3,
,,,,54,2021-07-27 17:30:36,00:00:10,00:00:10,0.5um,7272008,2.5um,173748,5.0um,27545,/m3,
,,,,55,2021-07-27 17:30:46,00:00:10,00:00:10,0.5um,7575008,2.5um,161035,5.0um,31783,/m3,
,,,,56,2021-07-27 17:30:56,00:00:10,00:00:10,0.5um,7515680,2.5um,186462,5.0um,25427,/m3,
,,,,57,2021-07-27 17:31:06,00:00:10,00:00:10,0.5um,7327099,2.5um,150441,5.0um,16951,/m3,
,,,,58,2021-07-27 17:31:16,00:00:10,00:00:10,0.5um,7314386,2.5um,177986,5.0um,33902,/m3,
,,,,59,2021-07-27 17:31:26,00:00:10,00:00:10,0.5um,5208216,2.5um,141965,5.0um,27545,/m3,
,,,,60,2021-07-27 17:31:36,00:00:10,00:00:10,0.5um,6265538,2.5um,144084,5.0um,21189,/m3,
,,,,61,2021-07-27 17:31:46,00:00:10,00:00:10,0.5um,7382190,2.5um,144084,5.0um,21189,/m3,
,,,,62,2021-07-27 17:31:56,00:00:10,00:00:10,0.5um,7066476,2.5um,150441,5.0um,23308,/m3,
,,,,63,2021-07-27 17:32:06,00:00:10,00:00:10,0.5um,7261414,2.5um,148322,5.0um,33902,/m3,
,,,,64,2021-07-27 17:32:16,00:00:10,00:00:10,0.5um,7526274,2.5um,158916,5.0um,16951,/m3,
,,,,65,2021-07-27 17:32:26,00:00:10,00:00:10,0.5um,7392784,2.5um,161035,5.0um,21189,/m3,
,,,,66,2021-07-27 17:32:36,00:00:10,00:00:10,0.5um,7591960,2.5um,165273,5.0um,25427,/m3,
,,,,67,2021-07-27 17:32:46,00:00:10,00:00:10,0.5um,7969121,2.5um,152560,5.0um,25427,/m3,
,,,,68,2021-07-27 17:32:56,00:00:10,00:00:10,0.5um,7341931,2.5um,167392,5.0um,21189,/m3,
,,,,69,2021-07-27 17:33:06,00:00:10,00:00:10,0.5um,7305910,2.5um,165273,5.0um,14832,/m3,
,,,,70,2021-07-27 17:33:16,00:00:10,00:00:10,0.5um,7390666,2.5um,144084,5.0um,23308,/m3,
,,,,71,2021-07-27 17:33:26,00:00:10,00:00:10,0.5um,7581365,2.5um,141965,5.0um,16951,/m3,
,,,,72,2021-07-27 17:33:36,00:00:10,00:00:10,0.5um,7532631,2.5um,216126,5.0um,50853,/m3,
,,,,73,2021-07-27 17:33:46,00:00:10,00:00:10,0.5um,7291078,2.5um,224602,5.0um,46615,/m3,
,,,,74,2021-07-27 17:33:56,00:00:10,00:00:10,0.5um,7337694,2.5um,233077,5.0um,44497,/m3,
,,,,75,2021-07-27 17:34:06,00:00:10,00:00:10,0.5um,7441519,2.5um,269098,5.0um,44497,/m3,
,,,,76,2021-07-27 17:34:16,00:00:10,00:00:10,0.5um,5962538,2.5um,184343,5.0um,36021,/m3,
,,,,77,2021-07-27 17:34:26,00:00:10,00:00:10,0.5um,6543112,2.5um,188581,5.0um,33902,/m3,
,,,,78,2021-07-27 17:34:36,00:00:10,00:00:10,0.5um,7765708,2.5um,167392,5.0um,27545,/m3,
,,,,79,2021-07-27 17:34:46,00:00:10,00:00:10,0.5um,7829274,2.5um,218245,5.0um,52972,/m3,
,,,,80,2021-07-27 17:34:56,00:00:10,00:00:10,0.5um,8113205,2.5um,171630,5.0um,25427,/m3,
,,,,81,2021-07-27 17:35:06,00:00:10,00:00:10,0.5um,7884365,2.5um,163154,5.0um,14832,/m3,
,,,,82,2021-07-27 17:35:16,00:00:10,00:00:10,0.5um,7543225,2.5um,171630,5.0um,42378,/m3,
,,,,83,2021-07-27 17:35:26,00:00:10,00:00:10,0.5um,6517686,2.5um,167392,5.0um,27545,/m3,
,,,,84,2021-07-27 17:35:36,00:00:10,00:00:10,0.5um,6604560,2.5um,154678,5.0um,21189,/m3,
