[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
7005,ISO,003,1,AVG,2021-07-30 10:55:20,00:00:10,00:00:10,0.5um,3965279,2.5um,824299,5.0um,357721,/m3,
,,,,1,2021-07-30 10:55:20,00:00:10,00:00:10,0.5um,917477,2.5um,36021,5.0um,8476,/m3,
,,,,2,2021-07-30 10:55:30,00:00:10,00:00:10,0.5um,803057,2.5um,29664,5.0um,10594,/m3,
,,,,3,2021-07-30 10:55:40,00:00:10,00:00:10,0.5um,847553,2.5um,29664,5.0um,16951,/m3,
,,,,4,2021-07-30 10:55:50,00:00:10,00:00:10,0.5um,1154792,2.5um,50853,5.0um,16951,/m3,
,,,,5,2021-07-30 10:56:00,00:00:10,00:00:10,0.5um,1786219,2.5um,84755,5.0um,19070,/m3,
,,,,6,2021-07-30 10:56:10,00:00:10,00:00:10,0.5um,3362668,2.5um,656854,5.0um,288168,/m3,
,,,,7,2021-07-30 10:56:20,00:00:10,00:00:10,0.5um,4371257,2.5um,1303113,5.0um,550910,/m3,
,,,,8,2021-07-30 10:56:30,00:00:10,00:00:10,0.5um,6119336,2.5um,2072268,5.0um,930190,/m3,
,,,,9,2021-07-30 10:56:40,00:00:10,00:00:10,0.5um,5746412,2.5um,1834953,5.0um,809413,/m3,
,,,,10,2021-07-30 10:56:50,00:00:10,00:00:10,0.5um,4956068,2.5um,1264973,5.0um,529721,/m3,
,,,,11,2021-07-30 10:57:00,00:00:10,00:00:10,0.5um,5360775,2.5um,1623065,5.0um,728896,/m3,
,,,,12,2021-07-30 10:57:10,00:00:10,00:00:10,0.5um,4828935,2.5um,1271330,5.0um,569980,/m3,
,,,,13,2021-07-30 10:57:20,00:00:10,00:00:10,0.5um,4536530,2.5um,1118770,5.0um,533959,/m3,
,,,,14,2021-07-30 10:57:30,00:00:10,00:00:10,0.5um,4426348,2.5um,1097582,5.0um,521245,/m3,
,,,,15,2021-07-30 10:57:40,00:00:10,00:00:10,0.5um,4388208,2.5um,794581,5.0um,368686,/m3,
,,,,16,2021-07-30 10:57:50,00:00:10,00:00:10,0.5um,4314047,2.5um,813651,5.0um,339021,/m3,
,,,,17,2021-07-30 10:58:00,00:00:10,00:00:10,0.5um,4044949,2.5um,622952,5.0um,271217,/m3,
,,,,18,2021-07-30 10:58:10,00:00:10,00:00:10,0.5um,3756780,2.5um,533959,5.0um,216126,/m3,
,,,,19,2021-07-30 10:58:20,00:00:10,00:00:10,0.5um,3862725,2.5um,553029,5.0um,245790,/m3,
,,,,20,2021-07-30 10:58:30,00:00:10,00:00:10,0.5um,3318172,2.5um,514889,5.0um,220364,/m3,
,,,,21,2021-07-30 10:58:40,00:00:10,00:00:10,0.5um,3672025,2.5um,495819,5.0um,199175,/m3,
,,,,22,2021-07-30 10:58:50,00:00:10,00:00:10,0.5um,3640242,2.5um,500057,5.0um,188581,/m3,
,,,,23,2021-07-30 10:59:00,00:00:10,00:00:10,0.5um,3500396,2.5um,476749,5.0um,167392,/m3,
,,,,24,2021-07-30 10:59:10,00:00:10,00:00:10,0.5um,4220816,2.5um,889931,5.0um,394112,/m3,
,,,,25,2021-07-30 10:59:20,00:00:10,00:00:10,0.5um,5767601,2.5um,1826478,5.0um,845435,/m3,
,,,,26,2021-07-30 10:59:30,00:00:10,00:00:10,0.5um,5246356,2.5um,1603995,5.0um,756441,/m3,
,,,,27,2021-07-30 10:59:40,00:00:10,00:00:10,0.5um,5670132,2.5um,1487456,5.0um,661092,/m3,
,,,,28,2021-07-30 10:59:50,00:00:10,00:00:10,0.5um,5189146,2.5um,1131484,5.0um,493700,/m3,
,,,,29,2021-07-30 11:00:00,00:00:10,00:00:10,0.5um,4818341,2.5um,1188694,5.0um,500057,/m3,
,,,,30,2021-07-30 11:00:10,00:00:10,00:00:10,0.5um,4500509,2.5um,834840,5.0um,389875,/m3,
,,,,31,2021-07-30 11:00:20,00:00:10,00:00:10,0.5um,4472963,2.5um,860267,5.0um,328427,/m3,
,,,,32,2021-07-30 11:00:30,00:00:10,00:00:10,0.5um,4305571,2.5um,650497,5.0um,300881,/m3,
,,,,33,2021-07-30 11:00:40,00:00:10,00:00:10,0.5um,4220816,2.5um,771274,5.0um,313595,/m3,
,,,,34,2021-07-30 11:00:50,00:00:10,00:00:10,0.5um,4136061,2.5um,542434,5.0um,222483,/m3,
,,,,35,2021-07-30 11:01:00,00:00:10,00:00:10,0.5um,4197508,2.5um,639903,5.0um,264860,/m3,
,,,,36,2021-07-30 11:01:10,00:00:10,00:00:10,0.5um,3854249,2.5um,483105,5.0um,188581,/m3,
,,,,37,2021-07-30 11:01:20,00:00:10,00:00:10,0.5um,3642361,2.5um,620833,5.0um,254266,/m3,
,,,,38,2021-07-30 11:01:30,00:00:10,00:00:10,0.5um,3570319,2.5um,612357,5.0um,230958,/m3,
,,,,39,2021-07-30 11:01:40,00:00:10,00:00:10,0.5um,3731354,2.5um,523364,5.0um,214007,/m3,
,,,,40,2021-07-30 11:01:50,00:00:10,00:00:10,0.5um,3352074,2.5um,525483,5.0um,199175,/m3,
,,,,AVG,,,,,3965279,,824299,,357721,/m3
,,,,MAX,,,,,6119336,,2072268,,930190,/m3
,,,,MIN,,,,,803057,,29664,,8476,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
