[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5810,ISO,003,1,AVG,2021-07-28 23:13:37,00:00:10,00:00:10,0.5um,3213453,2.5um,589458,5.0um,158738,/m3,
,,,,1,2021-07-28 23:13:37,00:00:10,00:00:10,0.5um,12334021,2.5um,3381738,5.0um,1074274,/m3,
,,,,2,2021-07-28 23:13:47,00:00:10,00:00:10,0.5um,11367810,2.5um,3093570,5.0um,987400,/m3,
,,,,3,2021-07-28 23:13:57,00:00:10,00:00:10,0.5um,11085998,2.5um,2943129,5.0um,942903,/m3,
,,,,4,2021-07-28 23:14:07,00:00:10,00:00:10,0.5um,10164284,2.5um,2790570,5.0um,790344,/m3,
,,,,5,2021-07-28 23:14:17,00:00:10,00:00:10,0.5um,9768053,2.5um,2447310,5.0um,777630,/m3,
,,,,6,2021-07-28 23:14:27,00:00:10,00:00:10,0.5um,8473415,2.5um,2167618,5.0um,724658,/m3,
,,,,7,2021-07-28 23:14:37,00:00:10,00:00:10,0.5um,8246695,2.5um,2150667,5.0um,629308,/m3,
,,,,8,2021-07-28 23:14:47,00:00:10,00:00:10,0.5um,7805967,2.5um,2078625,5.0um,612357,/m3,
,,,,9,2021-07-28 23:14:57,00:00:10,00:00:10,0.5um,7386428,2.5um,1811645,5.0um,555147,/m3,
,,,,10,2021-07-28 23:15:07,00:00:10,00:00:10,0.5um,6663889,2.5um,1561617,5.0um,468273,/m3,
,,,,11,2021-07-28 23:15:17,00:00:10,00:00:10,0.5um,6278252,2.5um,1529834,5.0um,453441,/m3,
,,,,12,2021-07-28 23:15:27,00:00:10,00:00:10,0.5um,5750650,2.5um,1392106,5.0um,428014,/m3,
,,,,13,2021-07-28 23:15:37,00:00:10,00:00:10,0.5um,5625636,2.5um,1262855,5.0um,353854,/m3,
,,,,14,2021-07-28 23:15:47,00:00:10,00:00:10,0.5um,5235761,2.5um,1192931,5.0um,317833,/m3,
,,,,15,2021-07-28 23:15:57,00:00:10,00:00:10,0.5um,4640355,2.5um,1065798,5.0um,296644,/m3,
,,,,16,2021-07-28 23:16:07,00:00:10,00:00:10,0.5um,4525935,2.5um,974686,5.0um,271217,/m3,
,,,,17,2021-07-28 23:16:17,00:00:10,00:00:10,0.5um,4345830,2.5um,828483,5.0um,214007,/m3,
,,,,18,2021-07-28 23:16:27,00:00:10,00:00:10,0.5um,4182676,2.5um,756441,5.0um,171630,/m3,
,,,,19,2021-07-28 23:16:37,00:00:10,00:00:10,0.5um,3985620,2.5um,775511,5.0um,228839,/m3,
,,,,20,2021-07-28 23:16:47,00:00:10,00:00:10,0.5um,3627529,2.5um,694994,5.0um,173748,/m3,
,,,,21,2021-07-28 23:16:57,00:00:10,00:00:10,0.5um,3663550,2.5um,694994,5.0um,226721,/m3,
,,,,22,2021-07-28 23:17:07,00:00:10,00:00:10,0.5um,3337241,2.5um,606001,5.0um,161035,/m3,
,,,,23,2021-07-28 23:17:17,00:00:10,00:00:10,0.5um,3140185,2.5um,517008,5.0um,152560,/m3,
,,,,24,2021-07-28 23:17:27,00:00:10,00:00:10,0.5um,3277913,2.5um,527602,5.0um,135609,/m3,
,,,,25,2021-07-28 23:17:37,00:00:10,00:00:10,0.5um,2996101,2.5um,529721,5.0um,137727,/m3,
,,,,26,2021-07-28 23:17:47,00:00:10,00:00:10,0.5um,2727003,2.5um,428014,5.0um,101706,/m3,
,,,,27,2021-07-28 23:17:57,00:00:10,00:00:10,0.5um,2654961,2.5um,394112,5.0um,99588,/m3,
,,,,28,2021-07-28 23:18:07,00:00:10,00:00:10,0.5um,2555373,2.5um,402588,5.0um,95350,/m3,
,,,,29,2021-07-28 23:18:17,00:00:10,00:00:10,0.5um,2489688,2.5um,360210,5.0um,93231,/m3,
,,,,30,2021-07-28 23:18:27,00:00:10,00:00:10,0.5um,2633772,2.5um,411063,5.0um,84755,/m3,
,,,,31,2021-07-28 23:18:37,00:00:10,00:00:10,0.5um,2523590,2.5um,372923,5.0um,65685,/m3,
,,,,32,2021-07-28 23:18:47,00:00:10,00:00:10,0.5um,2368912,2.5um,370805,5.0um,67804,/m3,
,,,,33,2021-07-28 23:18:57,00:00:10,00:00:10,0.5um,2470618,2.5um,370805,5.0um,63567,/m3,
,,,,34,2021-07-28 23:19:07,00:00:10,00:00:10,0.5um,2080744,2.5um,288168,5.0um,48734,/m3,
,,,,35,2021-07-28 23:19:17,00:00:10,00:00:10,0.5um,2040485,2.5um,334784,5.0um,61448,/m3,
,,,,36,2021-07-28 23:19:27,00:00:10,00:00:10,0.5um,2129478,2.5um,288168,5.0um,48734,/m3,
,,,,37,2021-07-28 23:19:37,00:00:10,00:00:10,0.5um,2038366,2.5um,294525,5.0um,67804,/m3,
,,,,38,2021-07-28 23:19:47,00:00:10,00:00:10,0.5um,2214233,2.5um,275455,5.0um,63567,/m3,
,,,,39,2021-07-28 23:19:57,00:00:10,00:00:10,0.5um,2108289,2.5um,252147,5.0um,44497,/m3,
,,,,40,2021-07-28 23:20:07,00:00:10,00:00:10,0.5um,2180331,2.5um,254266,5.0um,31783,/m3,
,,,,41,2021-07-28 23:20:17,00:00:10,00:00:10,0.5um,2157023,2.5um,254266,5.0um,46615,/m3,
,,,,42,2021-07-28 23:20:27,00:00:10,00:00:10,0.5um,2051079,2.5um,203413,5.0um,42378,/m3,
,,,,43,2021-07-28 23:20:37,00:00:10,00:00:10,0.5um,2267205,2.5um,260623,5.0um,48734,/m3,
,,,,44,2021-07-28 23:20:47,00:00:10,00:00:10,0.5um,2197282,2.5um,228839,5.0um,59329,/m3,
,,,,45,2021-07-28 23:20:57,00:00:10,00:00:10,0.5um,2195163,2.5um,216126,5.0um,33902,/m3,
,,,,46,2021-07-28 23:21:07,00:00:10,00:00:10,0.5um,2057436,2.5um,273336,5.0um,29664,/m3,
,,,,47,2021-07-28 23:21:17,00:00:10,00:00:10,0.5um,2104051,2.5um,186462,5.0um,23308,/m3,
,,,,48,2021-07-28 23:21:27,00:00:10,00:00:10,0.5um,1873093,2.5um,165273,5.0um,14832,/m3,
,,,,49,2021-07-28 23:21:37,00:00:10,00:00:10,0.5um,1792575,2.5um,165273,5.0um,36021,/m3,
,,,,50,2021-07-28 23:21:47,00:00:10,00:00:10,0.5um,1642135,2.5um,158916,5.0um,16951,/m3,
,,,,51,2021-07-28 23:21:57,00:00:10,00:00:10,0.5um,1686631,2.5um,135609,5.0um,19070,/m3,
,,,,52,2021-07-28 23:22:07,00:00:10,00:00:10,0.5um,1464148,2.5um,137727,5.0um,21189,/m3,
,,,,53,2021-07-28 23:22:17,00:00:10,00:00:10,0.5um,1286162,2.5um,112301,5.0um,21189,/m3,
,,,,54,2021-07-28 23:22:27,00:00:10,00:00:10,0.5um,1553142,2.5um,129252,5.0um,14832,/m3,
,,,,55,2021-07-28 23:22:37,00:00:10,00:00:10,0.5um,1642135,2.5um,120776,5.0um,27545,/m3,
,,,,56,2021-07-28 23:22:47,00:00:10,00:00:10,0.5um,1673918,2.5um,144084,5.0um,16951,/m3,
,,,,57,2021-07-28 23:22:57,00:00:10,00:00:10,0.5um,1381512,2.5um,141965,5.0um,19070,/m3,
,,,,58,2021-07-28 23:23:07,00:00:10,00:00:10,0.5um,1436603,2.5um,125014,5.0um,21189,/m3,
,,,,59,2021-07-28 23:23:17,00:00:10,00:00:10,0.5um,1502288,2.5um,144084,5.0um,29664,/m3,
,,,,60,2021-07-28 23:23:27,00:00:10,00:00:10,0.5um,1561617,2.5um,144084,5.0um,12713,/m3,
,,,,61,2021-07-28 23:23:37,00:00:10,00:00:10,0.5um,1603995,2.5um,152560,5.0um,21189,/m3,
,,,,62,2021-07-28 23:23:47,00:00:10,00:00:10,0.5um,1828596,2.5um,156797,5.0um,23308,/m3,
,,,,63,2021-07-28 23:23:57,00:00:10,00:00:10,0.5um,1663324,2.5um,116539,5.0um,10594,/m3,
,,,,64,2021-07-28 23:24:07,00:00:10,00:00:10,0.5um,1790457,2.5um,108063,5.0um,14832,/m3,
,,,,65,2021-07-28 23:24:17,00:00:10,00:00:10,0.5um,1792575,2.5um,110182,5.0um,12713,/m3,
,,,,66,2021-07-28 23:24:27,00:00:10,00:00:10,0.5um,1885806,2.5um,201294,5.0um,31783,/m3,
,,,,67,2021-07-28 23:24:37,00:00:10,00:00:10,0.5um,1843429,2.5um,129252,5.0um,6357,/m3,
,,,,68,2021-07-28 23:24:47,00:00:10,00:00:10,0.5um,1572212,2.5um,139846,5.0um,16951,/m3,
,,,,69,2021-07-28 23:24:57,00:00:10,00:00:10,0.5um,1718415,2.5um,105944,5.0um,8476,/m3,
,,,,70,2021-07-28 23:25:07,00:00:10,00:00:10,0.5um,1640016,2.5um,84755,5.0um,10594,/m3,
,,,,71,2021-07-28 23:25:17,00:00:10,00:00:10,0.5um,1654848,2.5um,129252,5.0um,12713,/m3,
,,,,72,2021-07-28 23:25:27,00:00:10,00:00:10,0.5um,1707820,2.5um,103825,5.0um,14832,/m3,
,,,,73,2021-07-28 23:25:37,00:00:10,00:00:10,0.5um,1745960,2.5um,120776,5.0um,14832,/m3,
