[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
6094,ISO,003,1,AVG,2021-07-29 11:42:36,00:00:10,00:00:10,0.5um,3286005,2.5um,941287,5.0um,280219,/m3,
,,,,1,2021-07-29 11:42:36,00:00:10,00:00:10,0.5um,400469,2.5um,65685,5.0um,25427,/m3,
,,,,2,2021-07-29 11:42:46,00:00:10,00:00:10,0.5um,438609,2.5um,74161,5.0um,23308,/m3,
,,,,3,2021-07-29 11:42:56,00:00:10,00:00:10,0.5um,402588,2.5um,44497,5.0um,12713,/m3,
,,,,4,2021-07-29 11:43:06,00:00:10,00:00:10,0.5um,396231,2.5um,65685,5.0um,10594,/m3,
,,,,5,2021-07-29 11:43:16,00:00:10,00:00:10,0.5um,400469,2.5um,52972,5.0um,10594,/m3,
,,,,6,2021-07-29 11:43:26,00:00:10,00:00:10,0.5um,408945,2.5um,72042,5.0um,23308,/m3,
,,,,7,2021-07-29 11:43:36,00:00:10,00:00:10,0.5um,408945,2.5um,84755,5.0um,38140,/m3,
,,,,8,2021-07-29 11:43:46,00:00:10,00:00:10,0.5um,432252,2.5um,105944,5.0um,31783,/m3,
,,,,9,2021-07-29 11:43:56,00:00:10,00:00:10,0.5um,453441,2.5um,91112,5.0um,23308,/m3,
,,,,10,2021-07-29 11:44:06,00:00:10,00:00:10,0.5um,375042,2.5um,69923,5.0um,25427,/m3,
,,,,11,2021-07-29 11:44:16,00:00:10,00:00:10,0.5um,419539,2.5um,76280,5.0um,19070,/m3,
,,,,12,2021-07-29 11:44:26,00:00:10,00:00:10,0.5um,593287,2.5um,112301,5.0um,27545,/m3,
,,,,13,2021-07-29 11:44:36,00:00:10,00:00:10,0.5um,2671912,2.5um,870861,5.0um,326308,/m3,
,,,,14,2021-07-29 11:44:46,00:00:10,00:00:10,0.5um,8083541,2.5um,2663437,5.0um,847553,/m3,
,,,,15,2021-07-29 11:44:56,00:00:10,00:00:10,0.5um,6363007,2.5um,2063793,5.0um,692875,/m3,
,,,,16,2021-07-29 11:45:06,00:00:10,00:00:10,0.5um,6290965,2.5um,2070149,5.0um,658973,/m3,
,,,,17,2021-07-29 11:45:16,00:00:10,00:00:10,0.5um,6680840,2.5um,2169737,5.0um,737371,/m3,
,,,,18,2021-07-29 11:45:26,00:00:10,00:00:10,0.5um,5971014,2.5um,2017177,5.0um,663211,/m3,
,,,,19,2021-07-29 11:45:36,00:00:10,00:00:10,0.5um,5475195,2.5um,1811645,5.0um,572099,/m3,
,,,,20,2021-07-29 11:45:46,00:00:10,00:00:10,0.5um,5072607,2.5um,1673918,5.0um,561504,/m3,
,,,,21,2021-07-29 11:45:56,00:00:10,00:00:10,0.5um,5140411,2.5um,1603995,5.0um,565742,/m3,
,,,,22,2021-07-29 11:46:06,00:00:10,00:00:10,0.5um,4364900,2.5um,1347610,5.0um,421658,/m3,
,,,,23,2021-07-29 11:46:16,00:00:10,00:00:10,0.5um,4189033,2.5um,1358204,5.0um,417420,/m3,
,,,,24,2021-07-29 11:46:26,00:00:10,00:00:10,0.5um,4432704,2.5um,1430246,5.0um,449203,/m3,
,,,,25,2021-07-29 11:46:36,00:00:10,00:00:10,0.5um,3737710,2.5um,1127246,5.0um,298763,/m3,
,,,,26,2021-07-29 11:46:46,00:00:10,00:00:10,0.5um,3335123,2.5um,938665,5.0um,300881,/m3,
,,,,27,2021-07-29 11:46:56,00:00:10,00:00:10,0.5um,3371144,2.5um,964092,5.0um,311476,/m3,
,,,,28,2021-07-29 11:47:06,00:00:10,00:00:10,0.5um,3307577,2.5um,896288,5.0um,256385,/m3,
,,,,29,2021-07-29 11:47:16,00:00:10,00:00:10,0.5um,2991863,2.5um,885693,5.0um,243672,/m3,
,,,,30,2021-07-29 11:47:26,00:00:10,00:00:10,0.5um,2440954,2.5um,745847,5.0um,207651,/m3,
,,,,31,2021-07-29 11:47:36,00:00:10,00:00:10,0.5um,2275681,2.5um,639903,5.0um,197056,/m3,
,,,,32,2021-07-29 11:47:46,00:00:10,00:00:10,0.5um,2186688,2.5um,635665,5.0um,150441,/m3,
,,,,33,2021-07-29 11:47:56,00:00:10,00:00:10,0.5um,2051079,2.5um,597525,5.0um,177986,/m3,
,,,,34,2021-07-29 11:48:06,00:00:10,00:00:10,0.5um,2112527,2.5um,595406,5.0um,163154,/m3,
,,,,35,2021-07-29 11:48:16,00:00:10,00:00:10,0.5um,2199401,2.5um,559385,5.0um,148322,/m3,
,,,,36,2021-07-29 11:48:26,00:00:10,00:00:10,0.5um,1951492,2.5um,557266,5.0um,122895,/m3,
,,,,37,2021-07-29 11:48:36,00:00:10,00:00:10,0.5um,1890044,2.5um,527602,5.0um,137727,/m3,
,,,,38,2021-07-29 11:48:46,00:00:10,00:00:10,0.5um,1983275,2.5um,468273,5.0um,144084,/m3,
,,,,39,2021-07-29 11:48:56,00:00:10,00:00:10,0.5um,1921827,2.5um,434371,5.0um,122895,/m3,
,,,,40,2021-07-29 11:49:06,00:00:10,00:00:10,0.5um,2146429,2.5um,561504,5.0um,146203,/m3,
,,,,41,2021-07-29 11:49:16,00:00:10,00:00:10,0.5um,1587044,2.5um,438609,5.0um,131371,/m3,
,,,,42,2021-07-29 11:49:26,00:00:10,00:00:10,0.5um,1538309,2.5um,370805,5.0um,86874,/m3,
,,,,43,2021-07-29 11:49:36,00:00:10,00:00:10,0.5um,2752430,2.5um,917477,5.0um,281812,/m3,
,,,,44,2021-07-29 11:49:46,00:00:10,00:00:10,0.5um,9395129,2.5um,3070262,5.0um,896288,/m3,
,,,,45,2021-07-29 11:49:56,00:00:10,00:00:10,0.5um,7850463,2.5um,2500283,5.0um,786106,/m3,
,,,,46,2021-07-29 11:50:06,00:00:10,00:00:10,0.5um,7664002,2.5um,2485450,5.0um,781868,/m3,
,,,,47,2021-07-29 11:50:16,00:00:10,00:00:10,0.5um,7810205,2.5um,2601989,5.0um,822127,/m3,
,,,,48,2021-07-29 11:50:26,00:00:10,00:00:10,0.5um,6996553,2.5um,2173974,5.0um,686518,/m3,
,,,,49,2021-07-29 11:50:36,00:00:10,00:00:10,0.5um,7146994,2.5um,2226947,5.0um,716183,/m3,
,,,,50,2021-07-29 11:50:46,00:00:10,00:00:10,0.5um,6310035,2.5um,1957848,5.0um,561504,/m3,
,,,,51,2021-07-29 11:50:56,00:00:10,00:00:10,0.5um,5848118,2.5um,1837072,5.0um,620833,/m3,
,,,,52,2021-07-29 11:51:06,00:00:10,00:00:10,0.5um,5225167,2.5um,1652729,5.0um,444966,/m3,
,,,,53,2021-07-29 11:51:16,00:00:10,00:00:10,0.5um,4502627,2.5um,1406939,5.0um,383518,/m3,
,,,,54,2021-07-29 11:51:26,00:00:10,00:00:10,0.5um,4564075,2.5um,1432365,5.0um,423777,/m3,
,,,,55,2021-07-29 11:51:36,00:00:10,00:00:10,0.5um,4004690,2.5um,1201407,5.0um,288168,/m3,
,,,,56,2021-07-29 11:51:46,00:00:10,00:00:10,0.5um,4085207,2.5um,1205645,5.0um,351735,/m3,
,,,,57,2021-07-29 11:51:56,00:00:10,00:00:10,0.5um,4017403,2.5um,1252260,5.0um,358091,/m3,
,,,,58,2021-07-29 11:52:06,00:00:10,00:00:10,0.5um,3470731,2.5um,1004351,5.0um,319951,/m3,
,,,,59,2021-07-29 11:52:16,00:00:10,00:00:10,0.5um,3479207,2.5um,989519,5.0um,277574,/m3,
,,,,60,2021-07-29 11:52:26,00:00:10,00:00:10,0.5um,3222822,2.5um,951379,5.0um,245790,/m3,
,,,,61,2021-07-29 11:52:36,00:00:10,00:00:10,0.5um,3015171,2.5um,815770,5.0um,254266,/m3,
,,,,62,2021-07-29 11:52:46,00:00:10,00:00:10,0.5um,3121115,2.5um,887812,5.0um,226721,/m3,
