[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5106,ISO,003,1,AVG,2021-07-08 15:20:56,00:01:00,00:01:00,0.5um,28862725,2.5um,143731,5.0um,16951,/m3,
,,,,1,2021-07-08 15:20:56,00:01:00,00:01:00,0.5um,28862725,2.5um,143731,5.0um,16951,/m3,
,,,,AVG,,,,,28862725,,143731,,16951,/m3
,,,,MAX,,,,,28862725,,143731,,16951,/m3
,,,,MIN,,,,,28862725,,143731,,16951,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
