[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5368,ISO,003,1,AVG,2021-07-27 15:21:25,00:00:10,00:00:10,0.5um,7028996,2.5um,543198,5.0um,142729,/m3,
,,,,1,2021-07-27 15:21:25,00:00:10,00:00:10,0.5um,7837750,2.5um,1148435,5.0um,372923,/m3,
,,,,2,2021-07-27 15:21:35,00:00:10,00:00:10,0.5um,6543112,2.5um,650497,5.0um,211888,/m3,
,,,,3,2021-07-27 15:21:45,00:00:10,00:00:10,0.5um,6511329,2.5um,582693,5.0um,199175,/m3,
,,,,4,2021-07-27 15:21:55,00:00:10,00:00:10,0.5um,6596084,2.5um,527602,5.0um,161035,/m3,
,,,,5,2021-07-27 15:22:05,00:00:10,00:00:10,0.5um,7947932,2.5um,1415414,5.0um,586931,/m3,
,,,,6,2021-07-27 15:22:15,00:00:10,00:00:10,0.5um,9017968,2.5um,1771387,5.0um,599644,/m3,
,,,,7,2021-07-27 15:22:25,00:00:10,00:00:10,0.5um,10221494,2.5um,2095576,5.0um,633546,/m3,
,,,,8,2021-07-27 15:22:35,00:00:10,00:00:10,0.5um,8837863,2.5um,1428127,5.0um,383518,/m3,
,,,,9,2021-07-27 15:22:45,00:00:10,00:00:10,0.5um,8863290,2.5um,1275568,5.0um,362329,/m3,
,,,,10,2021-07-27 15:22:55,00:00:10,00:00:10,0.5um,8905667,2.5um,1082749,5.0um,298763,/m3,
,,,,11,2021-07-27 15:23:05,00:00:10,00:00:10,0.5um,8759464,2.5um,1180218,5.0um,332665,/m3,
,,,,12,2021-07-27 15:23:15,00:00:10,00:00:10,0.5um,8666233,2.5um,1025540,5.0um,250028,/m3,
,,,,13,2021-07-27 15:23:25,00:00:10,00:00:10,0.5um,7704260,2.5um,750085,5.0um,233077,/m3,
,,,,14,2021-07-27 15:23:35,00:00:10,00:00:10,0.5um,7704260,2.5um,743728,5.0um,163154,/m3,
,,,,15,2021-07-27 15:23:45,00:00:10,00:00:10,0.5um,7825037,2.5um,790344,5.0um,237315,/m3,
,,,,16,2021-07-27 15:23:55,00:00:10,00:00:10,0.5um,7303791,2.5um,627190,5.0um,165273,/m3,
,,,,17,2021-07-27 15:24:05,00:00:10,00:00:10,0.5um,7263533,2.5um,635665,5.0um,180105,/m3,
,,,,18,2021-07-27 15:24:15,00:00:10,00:00:10,0.5um,7295316,2.5um,652616,5.0um,171630,/m3,
,,,,19,2021-07-27 15:24:25,00:00:10,00:00:10,0.5um,6795259,2.5um,491581,5.0um,127133,/m3,
,,,,20,2021-07-27 15:24:35,00:00:10,00:00:10,0.5um,6570658,2.5um,353854,5.0um,93231,/m3,
,,,,21,2021-07-27 15:24:45,00:00:10,00:00:10,0.5um,6778308,2.5um,444966,5.0um,105944,/m3,
,,,,22,2021-07-27 15:24:55,00:00:10,00:00:10,0.5um,6941462,2.5um,519126,5.0um,116539,/m3,
,,,,23,2021-07-27 15:25:05,00:00:10,00:00:10,0.5um,6831280,2.5um,514889,5.0um,137727,/m3,
,,,,24,2021-07-27 15:25:15,00:00:10,00:00:10,0.5um,6924511,2.5um,476749,5.0um,110182,/m3,
