[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5107,ISO,003,1,AVG,2021-07-08 15:22:46,00:01:00,00:01:00,0.5um,32958880,2.5um,197409,5.0um,26486,/m3,
,,,,1,2021-07-08 15:22:46,00:01:00,00:01:00,0.5um,32958880,2.5um,197409,5.0um,26486,/m3,
,,,,AVG,,,,,32958880,,197409,,26486,/m3
,,,,MAX,,,,,32958880,,197409,,26486,/m3
,,,,MIN,,,,,32958880,,197409,,26486,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
