[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5096,ISO,003,1,AVG,2021-06-28 15:25:08,00:01:00,00:01:00,0.5um,3627087,2.5um,17039,5.0um,2825,/m3,
,,,,1,2021-06-28 15:25:08,00:01:00,00:01:00,0.5um,3535710,2.5um,15185,5.0um,2472,/m3,
,,,,2,2021-06-28 15:26:08,00:01:00,00:01:00,0.5um,3675910,2.5um,13420,5.0um,2472,/m3,
,,,,3,2021-06-28 15:27:08,00:01:00,00:01:00,0.5um,3647305,2.5um,20129,5.0um,3885,/m3,
,,,,4,2021-06-28 15:28:08,00:01:00,00:01:00,0.5um,3649424,2.5um,19423,5.0um,2472,/m3,
,,,,AVG,,,,,3627087,,17039,,2825,/m3
,,,,MAX,,,,,3675910,,20129,,3885,/m3
,,,,MIN,,,,,3535710,,13420,,2472,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
