[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
2657,ISO,003,1,AVG,2021-06-22 17:45:56,00:01:00,00:01:00,0.5um,1554413,2.5um,18364,5.0um,3072,/m3,
,,,,1,2021-06-22 17:45:56,00:01:00,00:01:00,0.5um,1522771,2.5um,26133,5.0um,5650,/m3,
,,,,2,2021-06-22 17:46:56,00:01:00,00:01:00,0.5um,1555260,2.5um,20129,5.0um,5650,/m3,
,,,,3,2021-06-22 17:47:56,00:01:00,00:01:00,0.5um,1668621,2.5um,16951,5.0um,3531,/m3,
,,,,4,2021-06-22 17:48:56,00:01:00,00:01:00,0.5um,1531246,2.5um,20129,5.0um,3885,/m3,
,,,,5,2021-06-22 17:49:56,00:01:00,00:01:00,0.5um,1532659,2.5um,16951,5.0um,2472,/m3,
,,,,6,2021-06-22 17:50:56,00:01:00,00:01:00,0.5um,1543960,2.5um,19776,5.0um,2472,/m3,
,,,,7,2021-06-22 17:51:56,00:01:00,00:01:00,0.5um,1528421,2.5um,16245,5.0um,2119,/m3,
,,,,8,2021-06-22 17:52:56,00:01:00,00:01:00,0.5um,1553848,2.5um,15185,5.0um,1413,/m3,
,,,,9,2021-06-22 17:53:56,00:01:00,00:01:00,0.5um,1528068,2.5um,14832,5.0um,1413,/m3,
,,,,10,2021-06-22 17:54:56,00:01:00,00:01:00,0.5um,1579274,2.5um,17304,5.0um,2119,/m3,
,,,,AVG,,,,,1554413,,18364,,3072,/m3
,,,,MAX,,,,,1668621,,26133,,5650,/m3
,,,,MIN,,,,,1522771,,14832,,1413,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
