[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5089,ISO,003,1,AVG,2021-06-28 14:43:03,00:01:00,00:01:00,0.5um,9953985,2.5um,67187,5.0um,10771,/m3,
,,,,1,2021-06-28 14:43:03,00:01:00,00:01:00,0.5um,9608077,2.5um,74161,5.0um,14479,/m3,
,,,,2,2021-06-28 14:44:03,00:01:00,00:01:00,0.5um,9728147,2.5um,63920,5.0um,10241,/m3,
,,,,3,2021-06-28 14:45:03,00:01:00,00:01:00,0.5um,10125791,2.5um,63567,5.0um,10241,/m3,
,,,,4,2021-06-28 14:46:03,00:01:00,00:01:00,0.5um,10353924,2.5um,67098,5.0um,8122,/m3,
,,,,AVG,,,,,9953985,,67187,,10771,/m3
,,,,MAX,,,,,10353924,,74161,,14479,/m3
,,,,MIN,,,,,9608077,,63567,,8122,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
