[Test data]

Record,Mode,Location,Points,Counts,Date & Time,Sample Time,Interval Time,Ch1 Size, Ch1 Data ,Ch2 Size, Ch2 Data,Ch3 Size,Ch3 Data ,Unit,
5102,ISO,003,1,AVG,2021-06-28 16:04:45,00:01:00,00:01:00,0.5um,4964544,2.5um,65774,5.0um,24897,/m3,
,,,,1,2021-06-28 16:04:45,00:01:00,00:01:00,0.5um,4905215,2.5um,46615,5.0um,11654,/m3,
,,,,2,2021-06-28 16:05:45,00:01:00,00:01:00,0.5um,5053537,2.5um,128546,5.0um,60388,/m3,
,,,,3,2021-06-28 16:06:45,00:01:00,00:01:00,0.5um,4931701,2.5um,42025,5.0um,13420,/m3,
,,,,4,2021-06-28 16:07:45,00:01:00,00:01:00,0.5um,4967722,2.5um,45909,5.0um,14126,/m3,
,,,,AVG,,,,,4964544,,65774,,24897,/m3
,,,,MAX,,,,,5053537,,128546,,60388,/m3
,,,,MIN,,,,,4905215,,42025,,11654,/m3
,,,,95%UCL,,,,,----,,----,,----,/m3
